Bug ID	Module	Bug Title	Description	Steps to Reproduce	Expected Result	Actual Result	Severity	Priority	Status	Reported By	Reported Date	Assigned To	Fixed Date
BUG-001	Registration	Registration success with invalid email format	User can register using email without proper domain (e.g. abc@com)	1. Go to Register 2. Enter email: abc@com 3. Click Register	Error: Enter valid email address	Registration succeeds with invalid email	High	High	Fixed	Alok Thokale	01-10-2024	Dev Team	03-10-2024
BUG-002	Login	No error message on wrong password	Clicking Login with wrong password shows blank screen instead of error	1. Enter correct email 2. Enter wrong password 3. Click Login	Error: Invalid credentials message	Blank screen appears for 3 seconds then redirects	Medium	High	Fixed	Alok Thokale	01-10-2024	Dev Team	04-10-2024
BUG-003	Cart	Cart quantity exceeds stock availability	User can add more quantity than available stock	1. Open product with stock_qty=2 2. Change cart quantity to 10 3. Click Update	Error: Only 2 units available	Quantity updated to 10 without error	High	High	Fixed	Alok Thokale	03-10-2024	Dev Team	05-10-2024
BUG-004	Cart	Cart does not persist after logout and login	Items added to cart disappear after user logs out and logs back in	1. Add 2 items to cart 2. Logout 3. Login again 4. Open cart	Previously added items visible in cart	Cart is empty after login	Medium	Medium	Open	Alok Thokale	03-10-2024	Dev Team	
BUG-005	Checkout	Invalid coupon shows generic error	Error message for invalid coupon does not tell user what went wrong	1. Enter coupon code: TESTXYZ 2. Click Apply	Error: Invalid or expired coupon code	Error: Something went wrong	Low	Low	Fixed	Alok Thokale	05-10-2024	Dev Team	07-10-2024
BUG-006	Checkout	COD option not available for orders above 5000	COD payment method disappears for orders above Rs 5000 without any message	1. Add items totaling Rs 6000 2. Proceed to checkout 3. Check payment methods	COD available with note: COD not available above Rs 5000	COD option silently hidden	Medium	Medium	Fixed	Alok Thokale	05-10-2024	Dev Team	08-10-2024
BUG-007	Order History	Cancelled order still shows as Processing	After cancellation order status remains Processing in order history	1. Place order 2. Cancel order 3. Go to order history	Status shows Cancelled	Status shows Processing	High	High	Fixed	Alok Thokale	07-10-2024	Dev Team	09-10-2024
BUG-008	Product Detail	Out of stock product allows Add to Cart click	Add to Cart button is visible but should be disabled for OOS products	1. Open out-of-stock product 2. Click Add to Cart	Button disabled and shows Out of Stock	Button clickable and item added to cart	Critical	High	Fixed	Alok Thokale	08-10-2024	Dev Team	10-10-2024
BUG-009	UI	Product images broken on search results page	Product images fail to load on the search results listing page	1. Search for laptop 2. View results	All product images visible	Images show broken icon	Medium	Medium	Fixed	Alok Thokale	09-10-2024	Dev Team	11-10-2024
BUG-010	Profile	Change password saves without confirmation	Password is changed without confirming the new password matches	1. Go to Change Password 2. Enter old password 3. Enter new password 4. Leave confirm field blank 5. Save	Error: Passwords do not match	Password changed with blank confirm field	High	High	Fixed	Alok Thokale	10-10-2024	Dev Team	12-10-2024
BUG-011	Checkout	Coupon discount not reflected in final order amount	Discount applied at checkout is not reflected in the placed order total	1. Apply coupon SAVE10 2. Verify discount 3. Place order 4. Check order total in My Orders	Order total should include 10% discount	Order total shows original price without discount	Critical	High	Open	Alok Thokale	11-10-2024	Dev Team	
BUG-012	Registration	Mobile field accepts alphabets	Registration form mobile field does not validate numeric-only input	1. Go to Register 2. Enter mobile: abcdefghij 3. Click Register	Error: Enter valid 10-digit mobile number	Registration allowed with alphabetic mobile number	Medium	Medium	Fixed	Alok Thokale	12-10-2024	Dev Team	14-10-2024
BUG-013	Product Search	Filters reset on page refresh	Applied filters are lost when the page is refreshed	1. Apply Electronics category filter 2. Refresh page	Filters remain applied	All filters reset to default	Low	Low	Open	Alok Thokale	13-10-2024	Dev Team	
BUG-014	UI	Mobile view - checkout button cut off	Proceed to Checkout button is partially hidden on 375px mobile view	1. Open cart on mobile (375px) 2. Scroll to bottom	Full checkout button visible	Button partially hidden below fold	Medium	Medium	Fixed	Alok Thokale	14-10-2024	Dev Team	16-10-2024
BUG-015	Order History	No message when order list is empty	New users with no orders see blank page instead of helpful message	1. Register new account 2. Go to My Orders	Message: You have no orders yet	Blank white page displayed	Low	Low	Fixed	Alok Thokale	15-10-2024	Dev Team	17-10-2024
BUG-016	Login	Session does not expire after inactivity	User session remains active even after 60+ minutes of inactivity	1. Login 2. Leave browser idle for 90 minutes 3. Perform action	Session expired - redirect to login	User still logged in without re-authentication	Medium	Medium	Open	Alok Thokale	16-10-2024	Dev Team	
BUG-017	Cart	Quantity field accepts negative numbers	User can enter negative quantity in cart update field	1. Open cart 2. Change quantity to -2 3. Click Update	Error: Quantity must be greater than 0	Cart updated with -2 quantity and total shows negative	High	High	Fixed	Alok Thokale	17-10-2024	Dev Team	19-10-2024
BUG-018	Checkout	Order placed without selecting delivery address	System allows checkout without selecting a delivery address	1. Add items to cart 2. Skip address step 3. Select payment 4. Place order	Error: Please select a delivery address	Order placed and shows address as blank	Critical	High	Fixed	Alok Thokale	18-10-2024	Dev Team	20-10-2024
BUG-019	UI	Sorting not working on product listing page	Price sorting (Low to High) does not reorder products correctly	1. Open product listing 2. Select Sort: Price Low to High	Products sorted in ascending price order	Products remain in original random order	High	Medium	Fixed	Alok Thokale	19-10-2024	Dev Team	21-10-2024
